UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00030304,2017-07-28,Pathogenic Micro-Organisms,Fish & Fish Products,Ireland (IE),Industry
ICID00030305,2017-07-25,Poor or insufficient controls,Feed Materials,United Kingdom (GB),General Public
ICID00030306,2017-07-28,Food Additives & Flavourings,Other Food Product / Mixed,United States (US),RASFF
ICID00030307,2017-07-28,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),RASFF
ICID00030308,2017-07-28,Poor or  Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00030309,2017-07-28,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030310,2017-07-28,Clandestine Detection,Other Food Product / Mixed,Bulgaria (BG),Home Office / Border Force
ICID00030311,2017-07-27,Pesticide Residues,Other Food Product / Mixed,Netherlands (NL),European Commission (EC)
ICID00030312,2017-07-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030313,2017-07-30,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030314,2017-07-30,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030315,2017-07-30,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00030316,2017-07-30,CHEMET,N/A,United Kingdom (GB),Water Company
ICID00030317,2017-07-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030318,2017-07-31,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00030319,2017-07-28,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030320,2017-07-31,Poor or Insufficient Controls,Other Food Product / Mixed,China (CX),Border Inspection Posts (BIPs)
ICID00030322,2017-07-31,Mycotoxins,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00030323,2017-07-31,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00030327,2017-07-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030329,2017-07-31,Poor or Insufficient Controls,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030376,2017-07-20,Poor or Insufficient Controls,Other Food Product / Mixed,Netherlands (NL),Industry
ICID00030971,2017-07-31,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products ,Brazil (BR),Border Inspection Posts (BIPs)
