UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00030580,2017-09-08,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030581,2017-09-08,Clandestine Detection,Confectionary,France (FR),Home Office / Border Force
ICID00030582,2017-09-08,Allergens,Confectionary,United Kingdom (GB),Industry
ICID00030583,2017-09-09,Clandestine Detection,Confectionary,Switzerland (CH),Border Inspection Posts (BIPs)
ICID00030584,2017-09-09,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030585,2017-09-10,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030586,2017-09-01,Poor or Insufficient Controls,Non-Alcoholic Beverages,Sri Lanka (LK),Local Authority
ICID00030587,2017-09-11,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),EU Member States
ICID00030588,2017-09-11,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030589,2017-09-11,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030590,2017-09-11,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Local Authority
ICID00030591,2017-09-11,Allergens,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030592,2017-09-11,Pesticide Residues,Fruits & Vegetables,China (CX),Industry
ICID00030593,2017-09-11,Pesticide Residues,Fruits & Vegetables,Brazil (BR),Industry
ICID00030594,2017-09-12,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030595,2017-09-12,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030596,2017-09-12,Pathogenic Micro-Organisms,Herbs & Spices,Lao People's Democratic Republic (LA),Border Inspection Posts (BIPs)
ICID00030597,2017-09-12,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs)
ICID00030598,2017-09-12,Poor or Insufficient Controls,Milk & Milk Products,France (FR),Border Inspection Posts (BIPs)
ICID00030599,2017-09-12,Pathogenic Micro-Organisms,Herbs & Spices,Lao People's Democratic Republic (LA),Border Inspection Posts (BIPs)
ICID00030600,2017-09-12,Pathogenic Micro-Organisms,Feed Premixtures,United Kingdom (GB),Industry
ICID00030601,2017-09-12,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030602,2017-09-12,Allergens,Cereals & Bakery Products,Germany (DE),Industry
ICID00030603,2017-09-12,Foreign Bodies ,Milk & Milk Products,United Kingdom (GB),General Public
