UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00029677,2017-04-24,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029678,2017-04-25,Foreign Bodies,Confectionery,United Kingdom (GB),Local Authority
ICID00029679,2017-04-13,Novel Food,Dietetic Foods/Food Supplements/Fortified Foods,United States (US),RASFF
ICID00029680,2017-04-24,Pesticide Residues,Fruits & Vegetables,Egypt (EG),Border Inspection Posts (BIPs)
ICID00029681,2017-04-25,Poor or Insufficient Controls,Cephalopods & Products Thereof,New Zealand (NZ),Border Inspection Posts (BIPs)
ICID00029682,2017-04-25,Novel Food,Dietetic Foods/Food Supplements/Fortified Foods,Poland (PL),Administrative Assistance and Cooperation System (AAC) 
ICID00029683,2017-04-25,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00029685,2017-04-25,Heavy Metals,Herbs & Spices,India (IN),Industry
ICID00029686,2017-04-25,Pathogenic Micro-Organisms,Fruits & Vegetables,United Kingdom (GB),Public Health England (PHE)
ICID00029687,2017-04-25,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Netherlands (NL),RASFF
ICID00029688,2017-04-25,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00029689,2017-04-25,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029690,2017-04-25,Organoleptic Aspects,Fruits & Vegetables,United Kingdom (GB),FSA Operations Group
ICID00029691,2017-04-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00029692,2017-04-26,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00029693,2017-04-26,Foreign Bodies,Non-Alcoholic Beverages,United Kingdom (GB),Industry
ICID00029694,2017-04-26,Clandestine Detection,Milk & Milk Products,France (FR),Home Office/Border Force
ICID00029695,2017-04-24,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029696,2017-04-26,Poor or Insufficient Controls,Herbs & Spices,Ethiopia (ET),Border Inspection Posts (BIPs)
ICID00029697,2017-04-26,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst/Laboratory
ICID00029698,2017-04-26,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst/Laboratory
ICID00029699,2017-04-27,Mycotoxins,Feed Materials,India (IN),Border Inspection Posts (BIPs)
ICID00029700,2017-04-27,Allergens,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00029701,2017-04-26,Residues or Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Ireland (IE),Department of Agriculture & Rural Development (DARD)
ICID00029702,2017-04-27,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),Other
ICID00029703,2017-04-26,Poor or Insufficient Controls,Fish & Fish Products,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00029704,2017-04-27,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00029705,2017-04-27,Labelling (absent / incomplete / incorrect),Milk & Milk Products,United Kingdom (GB),General Public
ICID00029706,2017-04-27,Novel Food,Dietetic Foods/Food Supplements/Fortified Foods,Poland (PL),Administrative Assistance and Cooperation System (AAC) 
ICID00029707,2017-04-27,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),General Public
ICID00029708,2017-04-27,Radiation,Dietetic Foods/Food Supplements/Fortified Foods,United States (US),RASFF
ICID00029709,2017-04-27,Adulteration / Fraud,Meat & Meat Products (other than poultry),Nigeria (NG),Local Authority
